Canonical SMILES,Molecular Weight,LogP,Labute ASA,TPSA,Num H Donors,Num H Acceptors,Num Rotatable Bonds,Num Rings,Tanimoto_to_PFOS,Tanimoto_to_PFOA
O=C(Cl)c1ccc(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,586.6250000000001,7.926600000000005,190.78365663745703,26.3,0.0,2.0,9.0,1.0,0.23255813953488372,0.3333333333333333
C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,589.3170000000001,5.089000000000003,191.4375455332604,63.68,0.0,4.0,13.0,0.0,0.3111111111111111,0.2608695652173913
C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,489.303,3.818400000000003,162.04551969276227,63.68,0.0,4.0,11.0,0.0,0.3111111111111111,0.2608695652173913
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,552.1240000000001,5.887900000000002,159.89039142592108,34.14,0.0,2.0,8.0,0.0,0.5909090909090909,0.36
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],417.1429999999999,3.6041,122.48030821184086,93.7,1.0,3.0,5.0,0.0,0.5416666666666666,0.3333333333333333
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[NH4+],317.1289999999999,2.3335,93.08828237134271,93.7,1.0,3.0,3.0,0.0,0.5,0.2962962962962963
CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,413.1549999999999,3.2319000000000004,123.39150202827336,46.17,1.0,2.0,6.0,0.0,0.5,0.3103448275862069
C[N+](C)(C)CCCN(CC(=O)[O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,656.3550000000002,3.431300000000002,212.47365516518155,77.51,0.0,4.0,14.0,0.0,0.3333333333333333,0.25
O=S(=O)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,746.6540000000003,8.495700000000001,222.05435145000536,34.14,0.0,2.0,13.0,0.0,0.36666666666666664,0.2903225806451613
FC(F)C(F)(F)Oc1ccc(Br)cc1,273.023,3.685800000000001,85.80452179514336,9.23,0.0,1.0,3.0,1.0,0.08108108108108109,0.08333333333333333
Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,518.4570000000001,7.846300000000004,207.59759635147543,70.5,2.0,4.0,6.0,4.0,0.10526315789473684,0.10810810810810811
CC(C)(C)C(=O)C(C#N)=NNc1ccc2c(c1)OC(F)(F)C(F)(F)O2,359.279,3.550080000000002,139.56870553747154,83.71000000000001,1.0,6.0,3.0,2.0,0.07017543859649122,0.09090909090909091
OCc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,526.186,6.6448000000000045,170.3242177510084,20.23,1.0,1.0,8.0,1.0,0.2647058823529412,0.2727272727272727
CS(=O)(=O)O.OC(C(F)(F)F)C(F)(F)F,264.1429999999999,0.9759,80.25599070434265,74.60000000000001,2.0,3.0,0.0,0.0,0.2962962962962963,0.1724137931034483
C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,372.105,4.114700000000001,118.2306770754836,26.3,0.0,2.0,7.0,0.0,0.21052631578947367,0.2857142857142857
FCC(F)(F)C(F)F,134.047,1.8563,42.29681227125394,0.0,0.0,0.0,2.0,0.0,0.10714285714285714,0.1111111111111111
FC1=CC(F)(F)C(F)(F)C1(F)F,194.049,2.7593,61.66233312018615,0.0,0.0,0.0,0.0,1.0,0.030303030303030304,0.03125
[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[2H]C(C(=O)C(F)(F)C(F)(F)C(F)(F)F)=C(O)C(C([2H])([2H])[2H])(C([2H])([2H])[2H])C([2H])([2H])[2H].[Eu],1070.6930533400011,11.6292,396.798865106757,111.9,3.0,6.0,9.0,0.0,0.20512820512820512,0.3142857142857143
O=C(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Br,376.305,4.184,108.13110028930352,17.07,0.0,1.0,4.0,0.0,0.18181818181818182,0.26666666666666666
Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,560.1940000000001,8.096220000000004,180.22599691906143,0.0,0.0,0.0,8.0,1.0,0.25,0.25806451612903225
FC(F)(I)C(F)(F)Oc1ccccc1,320.023,3.6860000000000017,91.19881231054566,9.23,0.0,1.0,3.0,1.0,0.11428571428571428,0.15151515151515152
NC(=CC(=S)c1ccccc1)C(F)(F)C(F)F,263.259,3.147600000000001,100.92732321521828,26.02,1.0,2.0,4.0,1.0,0.09090909090909091,0.11904761904761904
O=C(O)C(O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,362.0659999999999,2.8326,110.6653181537598,57.53,2.0,2.0,5.0,0.0,0.38461538461538464,0.6666666666666666
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,420.043,5.150700000000001,123.8045606200427,18.46,0.0,2.0,5.0,0.0,0.17857142857142858,0.14285714285714285
Fc1c(F)c(F)c(C(F)(F)F)c(N2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)c1F,481.105,6.173300000000003,151.18916017229674,3.24,0.0,1.0,1.0,2.0,0.075,0.07692307692307693
FC(I)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,457.955,5.633000000000002,119.6530990411096,0.0,0.0,0.0,4.0,0.0,0.32142857142857145,0.44
OC(O)(O)C(O)(F)C(F)(F)F,180.05299999999997,-1.1625000000000003,57.30821187711176,80.92,4.0,4.0,1.0,0.0,0.20833333333333334,0.21739130434782608
C=Cc1c(F)c(F)c(OCC(F)(F)C(F)(F)F)c(F)c1F,324.142,4.462400000000001,111.16987451513874,9.23,0.0,1.0,4.0,1.0,0.125,0.1
FC(F)(F)N1OC1(C(F)(F)F)C(F)(F)F,249.03199999999995,2.5743,75.14548224301448,15.54,0.0,2.0,0.0,1.0,0.0967741935483871,0.1
O=NC(F)(F)C(F)(F)C(F)(F)N=O,210.033,2.3401,65.85181164264114,58.86,0.0,4.0,4.0,0.0,0.2,0.20833333333333334
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CBr,462.978,5.755400000000002,129.64442447814068,0.0,0.0,0.0,6.0,0.0,0.3076923076923077,0.32
FC(F)(F)C(F)(F)C(F)(F)c1ccc(CC2CO2)cc1,302.1890000000001,3.9173000000000022,108.88751770233792,12.53,0.0,1.0,4.0,2.0,0.14634146341463414,0.15
O=[N+]([O-])c1ccc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,485.1959999999999,6.102500000000003,162.2694212247175,52.370000000000005,0.0,3.0,9.0,1.0,0.20454545454545456,0.20930232558139536
C[Si](C)(CCCC(F)(F)C(F)(F)C(F)(F)F)N1CCOCC1,355.3700000000001,4.136800000000004,125.24084789808228,12.47,0.0,2.0,6.0,1.0,0.13953488372093023,0.14285714285714285
O=CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,326.105,4.069000000000001,103.27625736083814,17.07,0.0,1.0,6.0,0.0,0.3,0.3103448275862069
CN(O)C(=O)C(F)(F)C(F)(F)C(F)(F)F,243.07799999999995,1.6669000000000005,78.02739532782076,40.54,1.0,2.0,2.0,0.0,0.26666666666666666,0.37037037037037035
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1cccs1,472.222,5.628800000000002,154.8312498576065,34.14,0.0,3.0,8.0,1.0,0.23809523809523808,0.34210526315789475
N#COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC#N,412.13000000000005,3.793560000000001,135.022404714465,66.03999999999999,0.0,4.0,9.0,0.0,0.15625,0.16129032258064516
OCCN(CCO)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,351.20899999999995,2.1312999999999995,118.8618498583305,43.7,2.0,3.0,9.0,0.0,0.24242424242424243,0.25
CCCCCCCCCCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,710.4560000000002,10.875399999999988,243.55315964410065,26.3,0.0,2.0,21.0,0.0,0.2631578947368421,0.38235294117647056
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,502.0520000000001,6.330500000000002,139.43752841648373,0.0,0.0,0.0,8.0,0.0,0.25806451612903225,0.26666666666666666
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc(Br)c1,581.085,7.976500000000003,170.67295276046866,0.0,0.0,1.0,7.0,1.0,0.2222222222222222,0.22857142857142856
CC(CC(F)(F)C(F)(F)F)C(=O)O,206.11,2.2948,70.34739446668354,37.3,1.0,1.0,3.0,0.0,0.18181818181818182,0.26666666666666666
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)F,454.129,5.437300000000001,143.45716751305554,26.3,0.0,2.0,8.0,0.0,0.175,0.21052631578947367
OCCC(CCO)C(F)(F)C(F)(F)C(F)(F)F,272.16,2.2003,92.04106115348146,40.46,2.0,2.0,6.0,0.0,0.23333333333333334,0.2413793103448276
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1csc(-c2sccc2C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,1002.3620000000004,14.40839999999999,311.2365013962216,0.0,0.0,2.0,15.0,2.0,0.18181818181818182,0.18604651162790697
FC(F)C(F)(F)COCC1(COCC(F)(F)C(F)F)COC1,346.214,2.8370000000000006,120.04775993019692,27.69,0.0,3.0,10.0,1.0,0.1,0.10256410256410256
O=C(O)c1ccc(OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c(F)c1F,448.228,5.680300000000002,154.60607266300167,46.53,1.0,2.0,9.0,1.0,0.1875,0.24444444444444444
